coin,blockchain,time_range,whale_transaction_count,total_volume
ADA,Cardano,2024-06-25 10:00,7,1267.33
ETH,Ethereum,2024-09-07 15:00,20,15030.76
ADA,Cardano,2024-02-18 03:00,9,1216.18
ADA,Cardano,2025-06-12 20:00,3,605.14
BTC,Bitcoin,2024-11-26 02:00,8,25328.61
BTC,Bitcoin,2024-01-09 21:00,10,33209.53
SOL,Solana,2024-01-07 16:00,9,3286.89
BTC,Bitcoin,2024-08-07 11:00,10,19972.54
ETH,Ethereum,2024-04-01 17:00,14,18976.64
ETH,Ethereum,2024-01-17 23:00,10,15794.92
ADA,Cardano,2024-06-26 23:00,7,830.89
ETH,Ethereum,2025-02-22 20:00,14,8270.25
SOL,Solana,2025-07-13 01:00,9,1244.37
SOL,Solana,2024-01-25 13:00,9,3713.93
SOL,Solana,2025-07-08 16:00,6,3998.49
BTC,Bitcoin,2024-06-11 11:00,12,29169.44
BTC,Bitcoin,2024-01-11 01:00,15,16015.58
ETH,Ethereum,2024-06-13 22:00,13,12487.58
ADA,Cardano,2024-02-22 13:00,6,725.98
SOL,Solana,2024-09-17 02:00,13,2459.82
ETH,Ethereum,2024-02-01 12:00,12,16575.13
ETH,Ethereum,2024-11-26 16:00,16,16182.94
ADA,Cardano,2024-12-07 00:00,6,1240.45
BTC,Bitcoin,2024-05-27 04:00,12,39909.03
BTC,Bitcoin,2025-04-23 14:00,14,25660.2
ADA,Cardano,2025-01-30 17:00,8,1106.43
ADA,Cardano,2025-05-08 18:00,7,915.23
ETH,Ethereum,2025-06-16 11:00,10,5455.62
ADA,Cardano,2025-05-10 22:00,3,729.88
SOL,Solana,2024-08-14 06:00,7,2042.68
SOL,Solana,2024-12-30 08:00,4,3945.44
BTC,Bitcoin,2024-09-25 19:00,6,20309.14
BTC,Bitcoin,2025-02-13 22:00,7,19298.71
ETH,Ethereum,2024-07-27 00:00,9,8277.28
ETH,Ethereum,2024-11-01 19:00,13,15928.54
BTC,Bitcoin,2025-07-03 06:00,11,26577.73
ETH,Ethereum,2024-12-13 06:00,8,7009.01
BTC,Bitcoin,2024-03-24 20:00,8,7370.54
BTC,Bitcoin,2025-06-15 14:00,6,11254.45
BTC,Bitcoin,2024-02-02 07:00,8,32210.43
BTC,Bitcoin,2025-07-20 19:00,6,23135.07
ADA,Cardano,2024-12-10 18:00,4,1349.97
ADA,Cardano,2025-02-13 23:00,2,1154.55
ETH,Ethereum,2025-06-03 02:00,11,5744.18
SOL,Solana,2024-03-23 11:00,9,394.92
ADA,Cardano,2024-09-07 12:00,2,895.85
BTC,Bitcoin,2024-06-25 10:00,12,12277.61
SOL,Solana,2025-02-05 05:00,14,2906.0
BTC,Bitcoin,2024-10-09 22:00,11,27043.92
SOL,Solana,2024-06-12 22:00,9,1799.22
ADA,Cardano,2025-05-08 06:00,3,1363.21
BTC,Bitcoin,2024-04-20 07:00,6,13847.7
BTC,Bitcoin,2025-05-29 03:00,13,41620.95
ADA,Cardano,2025-04-18 11:00,5,878.92
SOL,Solana,2024-04-06 09:00,10,4051.58
BTC,Bitcoin,2025-01-02 22:00,10,39884.89
ETH,Ethereum,2024-08-30 23:00,12,10288.53
SOL,Solana,2025-03-21 17:00,8,2239.2
ETH,Ethereum,2024-04-24 05:00,10,11121.52
ETH,Ethereum,2024-05-28 18:00,17,10148.33
BTC,Bitcoin,2025-07-02 21:00,6,25003.7
ETH,Ethereum,2024-09-08 09:00,13,3670.87
ETH,Ethereum,2024-04-08 03:00,20,7225.83
BTC,Bitcoin,2025-07-29 13:00,15,7503.02
SOL,Solana,2025-03-17 08:00,4,3892.34
SOL,Solana,2024-01-26 07:00,10,3754.41
BTC,Bitcoin,2025-07-01 17:00,10,29316.58
ETH,Ethereum,2025-01-09 03:00,18,10801.21
SOL,Solana,2024-06-12 01:00,9,1289.31
BTC,Bitcoin,2025-03-03 14:00,9,23842.79
SOL,Solana,2024-06-24 15:00,6,2884.76
ETH,Ethereum,2025-02-28 08:00,15,5408.85
ETH,Ethereum,2025-06-24 08:00,9,8869.65
ETH,Ethereum,2024-03-02 05:00,19,12315.01
ETH,Ethereum,2024-11-06 02:00,14,12918.02
BTC,Bitcoin,2025-03-09 01:00,6,21866.56
ETH,Ethereum,2024-12-10 10:00,19,10025.49
ETH,Ethereum,2024-09-16 10:00,9,5172.99
